root_id,root_type,description,Meaning
170,R,"arch, arche, archi","chief, most important, rule, begin"
171,R,"archa, archaeo","primitive, ancient"
178,R,aristo,best
1109,S,isk,small
182,R,"aster, astr, astro, astros","star, stars, outer space"
3794,R,aquil,eagle
184,R,atmo,"vapor, steam, air, gas"
185,R,"acoust, aud, audi, audio, audit, obed, obei(s)","hear, listen, obey"
1112,P,"com, com(m)","with, together"
188,R,"aut, auto","self, same, one"
3921,R,orc,oath
191,R,"bar, baro, bary","pressure, weight"
1007,S,ent,one who
194,R,"bel, bell, belli, belli(c), du, vel","war, fighting, contention"
197,R,"bibl, biblio",book
200,R,"ba, bi, bin, bis","two, twice, double, two by two"
201,R,"be, bi, bio, bio(n)","life, living matter"
202,R,"blast, blasto","cell, primitive, immature cell, bud"
204,R,"brev, brevi, bridg, brief, cur, curt",short
205,R,"cab(b), cad, cap, cap(e), caps, capt, chief, chiev, chiev(e), corpo(r)","head, summit, source, leader"
206,R,"cap, capt","take, hold, grasp mentally, seize"
208,R,"cardi, cardio","heart, beat"
210,R,"carn, carna(d), carni, carr, sarc, sarco","flesh, meat"
211,R,"cat, cata","down, against, completely"
214,R,"calm, caut, caust, ink","burn, burnt, heat, fire"
3583,S,erize,"to, to be"
217,R,"cab, cat, catch, ceipt, ceit, ceiv, cov, cup","take, hold, seize, catch, accept, obtain, receive, grasp, keep"
218,R,"cel, celebr, cell","rise high, surpass, be eminent, honor, make widely known"
219,R,celer,"fast, swift, speedy"
222,R,"cent, centi","hundred, hundredth"
223,R,"cent, centr",center
228,R,cept,"take, hold, catch, accept, grasp mentally"
229,R,cerebr,brain
232,R,"cert, cert(i)",sure
235,R,"cream, creme, cret, Christ","ointment, unguent, anointed one"
236,R,"chrom, chroma, chromat, chromo","color, pigment"
3851,S,use,that which
240,R,"chron, chrono, cron",time
243,R,chrys,"gold, yellow"
246,R,"caes, chis, cid, cis, scis(s)","cut, kill, shorten"
1323,S,dillo,small
248,R,"circ, circl(e), circu, circul, search","ring, circle, wheel, round, around, about"
1116,R,sui,of oneself
252,R,"calend, claim, clam, clat, clesi, cr","shout, speak out, cry, declare, announce, first day of the month"
253,R,"clair, clar, clear","clear, bright; to reveal, show"
255,R,"climat, climax, clin",sloping region or zone of the earth; ladder ; lean
256,R,"clud, clus","close, shut"
3966,S,iff,quality of
260,R,"cogit, cogn, conn, gnom, gnor, gnos, gnost, nob, not, quaint","know, think, learn; wise, well-known"
4111,S,ice,"to, to be"
262,R,com,"together, common"
263,R,con,"with, jointly, together"
3902,R,spir,a coil
3685,R,"fib, fibr","filament, fine thread"
267,R,"corp, corpo, corpor, corps, cors",body
3792,S,o,"a, that which"
270,R,"cosm, cosmo, cosmo(s)","universe, order, skillfully arranged, adornment"
271,R,"cont, contra, contr(e), contro, counter, countr","opposite, contrary, against"
272,R,"crani, cranio, graine",skull
273,R,"creant, cred, credit, grant","believe, trust"
274,R,"cret, creet","separate, sift, distinguish, understand, decide"
275,R,"cryph, crypt, grot, grot(t)","hide, hidden, secret"
276,R,cumul,"heap, pile"
278,R,"cycl, cyclo, cyclon","circle, ring, wheel"
1171,S,"ad, ada, ade","product of, that which"
285,R,"dem, dem(i), demo, demos",people
288,R,"dendr, druid","tree, oak"
291,R,"dand(e), dent, odont","tooth, notch"
292,R,"derm, dermat, dermato, dermis, cut",skin
297,R,"dex, dic, dic(a), dict, digm, dit, preach","speak, say, tell, show, reveal, proclaim, sample, pattern, proof"
3919,S,at,"a, that which, result of"
300,R,"doc, doct, doctrin(e), doc(u)","teach; a particular teaching, a branch of learning"
301,R,"dam, dang, dom, domin, don, donn, dung","master, mistress"
305,R,"drama, dramat, drast","play, drama, to be performed, to be done"
306,R,doubl,"two, twice"
309,R,"doubt, du, duc, duct, duct(r), duk","lead, leader, bring"
311,R,dur,"harden, to last, survive, harsh"
1097,S,s,(plural)
314,R,"dynam, dynast","power, lord, to be able"
315,R,dys,"abnormal, bad, difficult"
316,R,"ego, ego(t)","self, I"
321,R,"ann, anni, annu, enn","year, yearly"
323,R,ep,"upon, at, in addition to"
1081,P,"ep, epi, epi(s)","on, to, upon, in, into, in addition, among"
326,R,"equ, equi, iqu","equal, equally"
327,R,"arg; erg, ergo, rg, sur, urg","without work, idle, inert; work"
329,R,"aesthet, esth, esthes, esthet","feeling, sensation, beauty"
330,R,"ethn, ethno","race, nation, people"
331,R,"eu, ev","good, well, normal; happy, pleasing"
332,R,"ec, ex, exo","from, out of; outside of"
3572,S,y,"to, to do"
338,R,"fer, fer(r), fer(t), lat","bring, carry, bear, set, trace"
3892,S,izing,treating in a certain way
340,R,"feit, feck, fet, ff, fi, fic, fit, fy","make, do, put, build, create, accomplish, work, supply, be adequate, easy"
341,R,"faith, fealt, feder, fi, fid, fid(av), fidel, fid(uc),fy","trust, safe, faith, belief; treaty, league"
342,R,"fin, fin(e), finit, finit(e)","end, last, limit, set bounds, boundary, border, count"
344,R,"flect, flex",bend
347,R,"fleur, flor, flour, flower","flower, blossom, zenith"
3654,R,pan,"fear, terror"
352,R,form,"shape, structure, outer appearance"
353,R,"fortun, fortun(e)","chance, fate, luck"
355,R,"fra, frac, fract, frag, frain, fray, fring","break, crush, shout, mitigate"
356,R,"fug, fugit","flee, run away, escape"
357,R,funct,"perform, work, operate"
358,R,"found, font, fus, futil","pour out, melt, fuse, mixed, spread, untrustworthy, pointless"
360,R,"gastr, gastro",stomach
362,R,"gen, gend, gene, geno, gon","race, kind, type, class, kin, birth, creation, sex, produce, offspring"
366,R,"gaea, gaia, ge, geo ","earth, land, soil"
370,R,"angl, angul, gon","angle, corner"
374,R,"gram, gramm, graph, graphy","letters, written, writing, recording; small weight"
375,R,"graff, graph","writing, recording, written"
376,R,"graph, graphy","writing, recording, written"
377,R,"grac, grat, grat(e), grat(i), gratuit","pleasing, beloved, dear, thankful, welcome, favor; voluntary"
379,R,"gyn, gyneco",woman
1106,R,"art, arti, arti(ll), artis, ert","skill, craft"
1104,R,"aqua, aquari, aque",water
382,R,"hecat, hect, hecto",hundred
385,R,"heli, helio",sun sun
387,R,"heli, helic, helico","spiral, circular"
391,R,"hemi, mi",half
392,R,"em, hemo",blood
393,R,"hepa, hepat",liver
395,R,hepta,seven
396,R,"arb, arbor, herb, herbi","grass, plant, tree"
397,R,hetero,"different, other, unlike"
398,R,"hex, hexa",six
400,R,hilar,"cheerful, joyful, good spirits"
401,R,"hist, histo",tissue
402,R,"hol, holo","whole, entire"
403,R,"hom, hom(i), homin, human","human being, humankind, man, refined"
404,R,"homeo, homil, homo, nom","like, alike, same, crowd"
407,R,"hydr, hydra, hydro","water, water serpent"
410,R,hygro,"moisture, humidity"
414,R,"iatr, iatro","healer, medical care"
416,R,"icon, icono","image, statue, portrait, semblance"
1767,P,idio,"peculiar, personal, distinct"
964,P,ig,"not, without"
420,R,"ign, igni(t)","fire, burn"
424,R,in,"in, into, inside, inwards"
431,R,iso,equal
2990,R,ciner,ash
434,R,"ais, eas, het, jac, ject, jist, jut","throw, send forth, lie down, be situated, comfort, well-being"
3765,S,olus,that which is small
438,R,"jun, jun(e), juven","young, younger"
443,R,"cinema, kines, kinet","movement, motion; moving"
445,R,labor,"work, toil"
446,R,"galax, lact, lett, mul",milk
448,R,later,"side, flank"
449,R,"lat(r), laund, lav, lot, lug, lut, luv","wash, bathe"
450,R,"cach, coil, cull, lect, leg, ex, lig, log","gather together, collect, choose, take, speak, read, story"
453,R,leuk,"white, colorless"
456,R,"liber, liver",free
457,R,"lib, libr","book, reading"
458,R,"leis, lic, licen(t)",to be allowed; permitted; unrestrained
463,R,"ite, lith, litho, magnet, magnes","Magnesian stone, magnet, mineral, stone, fossil"
465,R,"lieu, loc, loco","place, from place to place"
467,R,"lexic, lexico, log, logo, logue, logy, ology","words, discourse, study, reason, phrases, speech"
469,R,"locu, locut, loqu","speak, talk"
470,R,"luc, lux","light, brightness, clarity; to shine"
472,R,lumin,"light, glow"
474,R,"loon, lun, luna",moon
478,R,"mag, magn, magn(i), maj, majest, maxim","great, large, authority"
1191,R,miniat,illuminate in red
1874,R,"mount, mount(e)","mountain, hill"
484,R,"main, man, mani, man(n), manu, manipul","hand, handful, handle"
485,R,"mand, mend","order, praise, entrust"
3562,S,uring,process of; state or quality
487,R,"mani, mania","madness, insanity"
490,R,"mar, mari,  mari(n), mer","sea, ocean"
493,R,mat,"acting, thinking"
495,R,"mater, matern, matr, matri, matt","mother, motherly, womb; the source, substance"
497,R,"demi, mean, med, medi, mezzo","central, in half, in the middle"
499,R,"mega, megalo","great, large, million"
500,R,melan,"black, dark"
503,R,"mem, mem(b), mem(br), memor","remembering, mindful, recall"
2857,S,abilia,pertaining to
505,R,"merg, mers","dip, dive, plunge, bury, drown, overwhelm"
507,R,meso,middle
508,R,"met, meta, met(h)","change, after, beyond, between"
1098,R,"alt, alti, alto, hanc, hanc(e), haught, haut, haut(e)","high, grown tall, lofty"
510,R,"meter, metr, metro","measure, rule, length"
3745,S,enza,"that which, act of, state of, quality of"
3593,S,entally,the manner of
513,R,micro,small
515,R,migr,"move, shift"
517,R,"min, minim, minis, minor, minus, minut",small in size or amount; less
520,R,"mis, miso",hate
3428,R,"gam, gamet","marriage, husband, wife"
529,R,"mon, mon(as), monk, mono","one, single, alone"
530,R,morph,"form, shape"
532,R,"mori, mort, morti, morti(c)","death; to decay, fail"
533,R,"mobil, moment, mot, mot(e), mov, mov(e), mut","move, active; instant of time "
535,R,"mult, multi",many
536,R,"muni, munit","fortify, defending"
537,R,"molt, mut, mut(e), mutu","change, alter, done in exchange, borrowed, reciprocal"
539,R,myo,muscle
540,R,narr,"tell, relate"
542,R,naut,sailor
543,R,nav,ship
546,R,"neg, ni, ny","say not, refuse; not"
547,R,"na, neo, neon","new, recent"
553,R,"nom, nomen, nomin, noun, nown, nym, onomat(o), onym",name
554,R,non,"no, not, without"
1759,R,"apert, overt",open
556,R,"noun, nounc, nunci","speak, declare, report"
557,R,nov,new
558,R,"arithm, number, numer",number
563,R,"octa, octa(ve), octo",eight
565,R,"ler, oc, ocul, veig","eye, see, bud"
567,R,op,"in the way, against"
568,R,"op, ops, opt, opthalmo, opto","eye, sight, see; visible; face"
569,R,"d'oeuv, euv, of, oper, ur, ur(e)","work, from work"
3530,R,temer,"heedlessly, rashly, without reason"
572,R,"opt, optim","best, wish, choose"
573,R,orb,circle
575,R,organ,"organized structure, organ, instrument, tool, product"
576,R,"orth, ortho","right, straight, correct, true"
581,R,"ox, oxy","sharp, keen, acid"
583,R,"pale, paleo",ancient
584,R,"pan, pan(n)","bread, food"
585,R,"pair, par, para, parat, par(r), per, ver","prepare, make ready, put in order, protect, provide"
2866,R,"orama, theatr, theater, theor","sight, view, a place for seeing; a looking at, observing"
594,R,"br, pawn, peach, ped, pedestr, pedi, pion, pod, pus, vamp, vet","foot, shoe, boot"
1119,S,ia,"relating or belonging to, tendency to"
599,R,"pent, penta",five
601,R,"peps, pept, pump","digestion, cook, ripen"
602,R,per,"through, throughout"
604,R,"peri, pir, peril","test, tested; try, attempt, attack, danger"
605,R,phag,"eat, eaten"
607,R,"phil, phil(e), philo","love, friend"
3103,R,serpent,"snake, creeping thing"
609,R,"hem, phon, phone, phonet, phono","sound, voice"
1200,P,ad,"to, toward, at, near, of"
614,R,"phos, photo",light
615,R,phyll,leaf
617,R,"phys, physio","nature, medicine, the body"
619,R,"phyte, phyto","plant, to grow"
624,R,"plas, plasm, plast","form, development; mold, image, figure, shape"
3466,R,fari,"speak, right, lawful"
636,R,port,carry
637,R,"paus, pon, pos, posit, post, pound","put, place, set, specify, pause, stop"
1094,S,ivity,"state of, quality"
639,R,"post, poster, pun","after, behind, later, coming after"
641,R,pre,"earlier, before, in front of"
647,R,"prot, proto, prot(e)","primitive, first, chief"
649,R,pseudo,"wrong, false"
650,R,"psych, psych(e), psycho","mind, mental, soul, spirit"
652,R,"pugn, pugil","fight , be in conflict, fist, boxer"
655,R,"poign, point, punc, punct, pung, pung(e)","pierce, point, stab, prick"
3758,R,"rab, rag","to rave, be mad"
658,R,"count, put","think, consider,  judge, calculate, prune, cut"
660,R,"pyr, pyro","fire, heat"
1325,P,re,"against, opposite, not; again, back to the original"
662,R,"cadr, quad, quadr, quadr(i), quadru, quar, quart, quatr, squar, tetr, tetra, trapez","four, fourth, square"
3566,R,"staur, stor, stor(e)","to renew, rebuild, refresh"
666,R,"cinq(u), quint","five, fifth"
2526,R,terp,"stem, stock, root"
669,R,"radic, rhizo, ric",root
673,R,rami,"branch, forked structure"
681,R,rhino,nose nose
683,R,rhodo,"red, rose"
685,R,"rid, rid(e), ridi, ris","laugh, laugh at, make fun of"
686,R,"rub, rubi(c), rubr",red
687,R,"rout, rupt","break open by force, burst"
689,R,"saur, sauros, saurus",lizard
690,R,"scend, scens, scent",climb
3927,S,ant,ten-fold
692,R,"sci, scit, scient",know
696,R,"scop, shop, skept","see, examine, observe, consider"
699,R,"scrib, scrib(b), script, scriv","write, written"
701,R,"sect, seg, sickl","cut, scythe, sickle"
702,R,self,"of, for, or by itself"
704,R,"sen, senesc, sieur, sir, sur","old man, old age, elder; older"
2093,R,"pan, pant, panto",all
708,R,serv,"save, keep, guard, protect, watch"
713,R,"heli, helio, sol",sun
714,R,"dorm, somn, somni, sop, sopor",sleep
715,R,"echo, son, sonn, sound","sound, resound"
716,R,"soph, sophist, sopho, syph","wise, clever, crafty"
717,R,"pect, spec, spec(i), spect, spectr, specul, spic, spis, spit(e)","see, look, observe, wait for, sighting, kind, species"
719,R,sphere,"ball, globe"
1009,S,mony,"product, result, state, quality"
721,R,"spir, spirit, spright","breathe, breath, soul, vigor"
722,R,"situ, stanc, stant, stan(z), stas, stasis, stat, status, stitu, stitut, tant","stand, fixed, state, position, condition"
723,R,stell,star
725,R,"stri, stroy, stru, struct, stry","build, construct, prepare, teach"
727,R,"sum, summ","extreme, highest, topmost, principal, chief"
728,R,"sopran, sov(e), super, suprem","over, above, highest, topmost, worthy of pride"
735,R,"tact, tag, tax, taxi, tain, tam, tang, tast(e), teg, tegr, tig, ting, tir ","touch, affect, arrange, assess, whole, value"
4291,S,eated,"made, done"
740,R,tele,"far away, far off, distant"
743,R,"temp, tempor, tempest","time, period, season, weather, storm"
748,R,"tellur, ter, terr, tur","land, earth"
752,R,"the, theo, thus","god, divine"
754,R,"therm, thermo",heat
756,R,"torch, torm, torqu, tors, tort","pain, agony, twist, wind, wrap"
758,R,"tox, toxic",poison poison
759,R,"trac, tract, trail, train, trait, traught, tray, treat","pull, draw, drag, influence, lure, bring along"
4280,S,entity,"pertaining to, relating to, characterized by"
761,R,"trauma, traumat","hurt, wound, damage"
762,R,"tre, tri, tri(n), tri(o)",three
763,R,"tyrann, tyran(t)","lord, master, sovereign, absolute ruler"
766,R,"inch, ounc, un, uni, unit","one, single, join into one, ounce, inch"
767,R,urb,city
768,R,"vac, vacat, vacu, void","empty; to be empty, to have leisure"
770,R,"ven, vent, venu","come, approach, arrive"
771,R,"ver, veri, verit",truth
772,R,"verb, verv",word
774,R,"se, vers, versat, vers(i), verg, vert, vertebr, vish, vorc, vort","turn, bend, incline, highest point, whirlpool, sink"
3775,S,tery,place for
781,R,"vanq(u), vict, vinc","conquer, defeat, overcome"
782,R,"prud, vey, vi, vic, vid, view, vis, voy, vy","see, foresee, sight, look at, observe"
784,R,"vi, vict, vit, viv, vivi","live, life, alive"
1362,R,quant,"how many, how much"
786,R,"voc, vocabul, voc(i), vouch, vow","voice, call, call upon, voice, word, name"
788,R,"vol, volunt, volupt","free will, free choice, to wish, personal desire"
789,R,"volcan,volcan(o), vulcan","burn, Roman god of fire"
792,R,"vor, vour","eat, eating, consume, ingest, swallow"
795,R,xeno,"stranger, foreign"
798,R,"xero, xir","dry, dried"
799,R,"zo, zo(d), zoo",animal life
801,R,"zyg, zygot","pair, joined"
803,S,able,"able to, can do"
804,S,ac,"pertaining to, one who"
805,S,acity,"quality of, characteristics of"
806,S,ade,"act, action"
807,S,age,"a, act or process, result of, state of, that which"
809,S,al,"a, like, of,  pertaining to, that which"
811,S,an,"relating to, belonging to, characteristic of"
812,S,ance,"a, of, state, quality, action, one who, that which"
813,S,"ant, ant(e)",a person who
814,S,ant,"inclined to, tending to"
815,S,ar,"like, resembling, having, pertaining to"
816,S,ar,"a person who, that which"
817,S,ard,a person who does an action
818,S,arian,"a person who, a thing that, pertaining to, believer in"
819,S,arium,a place for
820,S,ary,"of or relating to, state of"
822,S,ate,"to, to make, to do"
823,S,ation,"a, act of, state of, process, result of doing something, that which"
824,S,ative,"tending to, quality of, that which"
827,S,cracy,"rule, government, power"
829,S,"cul, cule","slight, small, tiny"
830,S,cy,"state, condition or quality"
832,S,dom,"condition of, state, realm"
836,S,ed,(past tense)
837,S,ee,a person who
838,S,eer,"a person associated with, engaged in"
840,S,ence,"a, quality of, state of, that which"
841,S,ency,"a, condition or quality, that which"
842,S,ent,"quality of, state of, that which"
843,S,eous,"composed of, of the nature of, like"
844,S,er,more
845,S,er,that which does or makes something
846,S,er,a person who does an action
847,S,ern,"state or quality of, that which"
848,S,escence,state or process
850,S,esque,"in the style of, quality of, resembling, tending to"
851,S,ess,female
853,S,etic,"pertaining to, relating to"
854,S,ette,small
855,S,ful,"full of, quality of"
856,S,fy,"make, cause"
863,S,hood,"state, condition, or quality"
864,S,ial,"relating to, pertaining to, quality of, having, that which"
865,S,ian,"relating to, quality of, belonging to, resembling, one who"
868,S,ible,able to be
869,S,"ic, c","a, state, pertaining to, characterized by, one who, that which"
870,S,ical,"pertaining to, relating to, characterized by"
871,S,ify,"to, to make"
872,S,ile,"relating to, capable of, that which"
873,S,ily,in what manner
874,S,ine,"relating to, pertaining to, quality of, that which, one who"
876,S,ing,action or process of doing
988,R,add,"to attach to, give to"
878,S,ious,"like, pertaining to, tending to, quality of"
879,S,ish,"state of, quality of"
880,S,ism,"practice of, condition of, behavior of, that which"
881,S,ist,a person who
882,S,ite,"resident of, follower, product of, pertaining to"
884,S,ity,"a, of, quality of, state of, act of, that which"
886,S,ive,"state, quality of; that which, one who; inclined to, pertaining to"
887,S,ization,act or process of making
888,S,ize,"state of, process of, to cause to become"
889,S,less,"without, lacking, not"
896,S,"ly, y",manner of
897,S,ment,"a, quality of, state of, result of, product of, act of, that which"
898,S,meter,measure
899,S,ness,state or quality
902,S,oid,resembling
904,S,oma,"tumor, swelling"
908,S,or,a person who
909,S,orium,"a place for, that which"
910,S,ory,"pertaining to, relating to"
911,S,ory,"place for, that which"
912,S,osis,"process, diseased condition"
932,S,ship,"state or condition of; skill of; office, position; relation between"
933,S,sion,"state or quality, that which"
934,S,some,"characterized by, group of"
937,S,tion,"act of, result of, state of"
4282,S,ionality,pertaining to
941,S,tude,state or quality of
942,S,ty,"a, state, condition or quality, that which"
943,S,ular,"pertaining to, relating to, resembling, having"
944,S,uous,"like, tending to, pertaining to, quality of"
1527,R,"salubr, salut, salutat","greet, hail, health"
951,R,"vail, val, valid, val(u)","strong, well, of value"
953,S,men,"result of, means of, act of"
954,P,"am, amb, ambi","both, around"
963,R,"ag, agit, ass, axi, eg, g, ig","do, act, drive, set in motion, weigh"
1011,R,asper,"rough, irritate"
1002,R,"or, orat, or(is)","mouth, face; to speak, plead, pray"
957,S,logy,"word, speech, study, reason, thought, science of"
959,S,y,"a, state, result, act of, inclined to, quality, pertaining to, that which"
962,R,"arbit, arbitr","think, judge"
2535,P,arch,"first, chief, principal"
1006,R,"arthr, artic, articul","joint; to divide into small joints, speak clearly"
967,P,as,"to, toward, in, by"
968,R,astut(e),"artful, clever; shrewd, crafty"
970,R,"aur, auscult, ot, oto, scout","ear, listen, obey"
971,R,"au, av, os","bird, birds"
1003,R,nom,"law, order"
974,R,"atav, avuncul","remote ancestor, uncle"
976,S,ose,"full of, having"
979,R,ign,"bring, bear, beget"
1008,R,"acerb, acid, acri, acrid, acu, acut, eag, eg","sharp, keen, fierce, bitter, tart"
980,R,buco(l),"rural, rustic, pastoral"
983,R,callous,"hardened skin, thick skin"
3678,S,elier,that which
985,S,ate,"a, job, rank, type, that which, one who"
986,R,"cab, caper, capr","goat, resembling a goat; unpredictable"
987,S,ion,"a, result, act, process, state, quality of, that which"
990,S,osity,"state, process, condition"
1103,S,ate,"full of, quality of, state of, having"
992,R,"aid, adjut, jocund","to help, helpful, pleasant, delightful"
993,P,ef,"out of, from, thoroughly"
994,R,"fac, fact, fair, fash, feas, feat, fect","make, do, put, build, create, work, accomplish"
997,R,isl,island island
998,R,allow,"to assign, place towards"
999,R,"ali, alter, altern, alter(c), altr(u), ulter","another, other, second; by turns with the other"
1005,P,ana,"upon, according to"
1012,R,"bac, bacteri, bec","rod, bar, stick, little rod"
1014,P,em,"at, near, in, on, with, within; bring to a certain state"
1015,P,"sy, syl, sym syn","together, with, same"
3784,R,elast,"ductile, beaten"
1017,S,otic,"state or process, that which"
1018,R,"cern, creet, crem, cret, cret(e), crim(e), crimin","sift, perceive, separate, decide, judge, accuse, offense, crime"
1020,P,ana,"back, up, again, against, without, throughout"
1023,R,"cinch, cinct","gird, surround"
1024,P,de,"down, off, away, from, not, out, thoroughly, apart, to one's detriment"
1025,R,cipher,"zero, empty"
1030,P,oc,"to, against, over, down"
1031,P,co,"with, together"
1033,R,"col, collet","neck, collar of a dress"
1034,R,"concil, concili; council","join, win over, make friendly, unite in feelings; public gathering"
1035,S,atory,"like, for, able to, tending to, characterized by, having to do with"
3789,R,aps,"to bind, fasten, touch"
1037,R,"cop, copi, op","plenty, wealth, abundance"
1038,R,"cardi, cardio, cor, cord, cour",heart
1040,P,cosmo,"universe, order, decoration"
1041,R,"ples, polic, polic(e), polis, polit","city, citizen, citizenship"
1044,S,ul,repeated action
1047,P,suc,"below, under"
1048,R,curs,"run, hurry"
1049,S,or,something that performs a specific action
1050,R,"coars, cor, corr, cour, cours, cur, curr","run, hurry, go on, continue"
1051,R,"cur, curt",short short short
1053,R,"dec, deca, decim, dim ","ten, tenth"
1054,R,"del, delet(e), deleter","destroy, wipe out; destroyer"
1056,S,um,"of, full of, having, pertaining to, that which"
1060,R,"dors, dors(e), doss",back
1061,P,ec,"out of, from"
1154,P,ant,"against, instead of, opposite"
1063,R,"doubt, dubi, dubit","doubt, hesitate"
1064,S,ous,"possessing, full of, nature of, state of, having, pertaining to, like, that which"
1065,S,ed,having a particular state or thing
1066,R,facet,"witty, humorous"
1068,R,"fabric, forg","art, craft, workshop, smith, artisan, workman"
1070,P,af,"to, toward, near"
1071,R,"fab, fabul, fac, fair, fat, fat(e), fant, fib, fib(b)","story, talk, speak, tell, prophecy, destiny"
1072,S,le,"apt to, that which, result of, quality of, state of, of"
1073,R,"pol, polit(e)","smooth, polish, refine"
1076,S,tic,"like, pertaining to"
1077,R,"arr, err, erro(n), errat","wander, make a mistake"
1078,R,erro(n),"wander, make a mistake mistake"
1079,R,"arc, ark, erc","confine, control, chest, coffer, enclose, hidden"
1082,R,"templ, tom, tomy","cut, cutting, a place cut for auguries, observation"
1083,R,hemer,day
1084,R,"enigma,enigmat","obscure saying, riddle"
1085,P,"e, ex","out of, from, up, away, fully"
4271,S,al,having
1089,R,"hospit, host","guest, host"
1090,R,"in, tain, ten, ten(e), tent, tin","hold, reach, occupy, persist, remain, retain, grasp"
1092,R,"volat, vol(l)","fly, move swiftly, speed"
1093,R,"ordin, orn",order
1096,P,aero,air
1132,R,lat,"carry, bring, bear"
1113,S,ain,"person who, that which, relating to, resembling"
1117,P,col,"with, together"
1118,R,ped,child
1120,R,"mol, mol(e)","heap, mass; massive structure, disturbance"
1123,S,ient,"quality of, capable of, tending to, act of, state of, that which, one who"
1125,P,"equ, equi",equal
1548,R,"cre, creas, cresc, cret, croiss, cru","grow, arise, appear, multiply, increase"
1127,R,"cit, civ",inhabitant of a town; community of citizens
1128,S,il,"of or relating to, tending to"
1129,R,despot,"lord, master, absolute ruler"
1130,R,plagiar,kidnapper
1139,R,sumpt,"take up, get, use"
1141,R,"vey, vi, voy","road, way, path, journey"
1145,S,es,(plural)
1147,R,"cre, creat, creo, sincer, sincer(e)","make, produce, create, cause, pure, clean, whole, genuine, untainted"
1150,R,"cel, cell","rise high, surpass, be eminent"
3636,S,lessly,manner of not
1152,R,"hal, hal(e), halit",breathe
1156,R,agon,"struggle, contest, conflict"
1158,S,ry,"a, quality or state of, condition, that which"
1160,R,"forc, forc(e), fort, fort(i), fort(r)","strong, vigorous, powerful"
1265,P,peri,"around, enclosing"
1162,R,"commun, commun(e), common","common, public, general, share, associate, discuss"
1163,R,"nect, nex","tie, bind"
1164,R,pol,sell
1165,R,"corn, corn(u)","horn, point"
1167,S,et,small
1168,R,"pl, pleat, plex, plo, ploit, plom, ploy","bend, fold, weave, entwine"
